identity,Ac,s,d,w,w/d,d/D50,CVd,CVw,k,D50,D84,Cv,Ls
WS_506PS0062,11,0.047,0.6,5.1,8.8,7.5,0.15,0.18,1.1,80,350,15,150
WS_524SHA907,14,0.055,2.7,11.5,4.9,53,0.42,0.45,1.2,50,5000,11,250
WS_521LCCBSR,6,0.05,0.5,7,13.5,7.2,0.12,0.16,1,74,1000,17,150
WS_508SHA910,84,0.015,0.9,22.1,23.8,21.6,0.16,0.28,1.6,43,110,3066,250
WS_508SHA911,89,0.01,2.3,17.3,11.1,97.5,0.76,0.43,1.1,24,55,3279,250
WS_508SHA912,153,0.01,1.6,17,13.4,42.6,0.49,0.18,1.1,38,72,3777,250
WS_511PS0401,55,0.03,2.6,8.8,3.4,1285,0.07,0.15,1.2,2,13,4175,150
WS_514CE0171,56,0.016,1.8,14.3,8.2,28,0.15,0.15,1.2,64,250,2088,250
WS_519CE0211,86,0.006,1,7.5,7.7,515,0.26,0.17,1.1,2,2,3292,150
WS_505PS0174,50,0.018,1.5,11.3,8.1,3.3,0.2,0.21,1.2,445,5000,50,250
WS_519PS0340,48,0.009,0.7,6.7,10.3,335,0.29,0.29,1.3,2,90,2245,150
WS_526PS0764,88,0.085,1.3,11,8.6,1.3,0.17,0.4,1.1,1000,2500,647,250
